,strata,group,metrica
0,11,history,42.631346277816874
1,6,history,14.844452560431808
2,4,history,2.3627680932465154
3,37,history,79.49401670205096
4,18,history,-22.627787624117136
5,34,history,28.679378210100626
6,9,history,20.87550287748895
7,16,history,19.5054962364265
8,43,history,-34.727192768390964
9,15,history,26.712642518677775
10,20,history,37.33419693281749
11,25,history,18.15605364300476
12,0,history,10.839548921794531
13,45,history,-47.72065961396271
14,9,history,24.20178565949505
15,23,history,6.165731473759181
16,35,history,74.38088968043846
17,21,history,22.35715926243191
18,46,history,-43.39208161701946
19,22,history,15.165873162826145
20,17,history,2.775653387096807
21,3,history,21.780154325112157
22,9,history,8.09627842447592
23,41,history,45.44485472065651
24,21,history,58.35841585921429
25,44,history,104.75610283637315
26,12,history,26.947262482152542
27,4,history,18.913128562576976
28,46,history,-19.407348616821285
29,18,history,64.54206395725855
30,13,history,55.770354304265126
31,24,history,38.09718909628437
32,1,history,13.695093720778019
33,4,history,13.07577539287196
34,26,history,-20.12774156128854
35,45,history,42.526826816212875
36,7,history,14.186931561725046
37,30,history,42.26604906184401
38,26,history,-11.529941016597679
39,1,history,9.944054166359372
40,27,history,67.6669010272087
41,17,history,49.588642001796586
42,44,history,107.378233930468
43,2,history,12.678830372945827
44,3,history,13.082485338332743
45,15,history,46.40048069484857
46,45,history,65.81116387796209
47,8,history,27.765565224007513
48,37,history,53.64473691551583
49,41,history,51.647561904355854
50,40,history,130.61353596589913
51,16,history,51.89015968400283
52,33,history,74.04884587364744
53,35,history,45.710619527210504
54,9,history,10.649744513099774
55,1,history,6.018209450320826
56,24,history,59.65280629459802
57,8,history,19.42902670553898
58,10,history,34.25870597359635
59,22,history,13.197189105334072
60,37,history,106.93103507523236
61,36,history,9.766353533036185
62,18,history,42.839231915361665
63,35,history,94.61212872824412
64,33,history,23.589058260282606
65,26,history,45.40325063560155
66,3,history,12.715822801069315
67,8,history,18.99031500803952
68,22,history,30.246795448812453
69,24,history,-31.951330477809936
70,11,history,18.982931655864075
71,31,history,70.22250088252552
72,37,history,60.4919503017245
73,44,history,134.6866497957601
74,44,history,60.823811096249045
75,46,history,214.98381996650903
76,15,history,36.486472196474075
77,25,history,69.15967737209448
78,6,history,29.02753127309748
79,16,history,23.553189145790107
80,6,history,21.861770725527357
81,4,history,16.45755338737651
82,20,history,37.964642692395586
83,41,history,58.20581300969721
84,32,history,116.81431447734856
85,32,history,64.34145151652316
86,37,history,117.88673229669855
87,32,history,17.43675525405685
88,2,history,16.822510595983836
89,13,history,44.30585327446493
90,20,history,31.703412316733225
91,10,history,54.18216065021245
92,10,history,15.802842793705178
93,16,history,4.108035346053211
94,8,history,28.271694995956814
95,20,history,40.54265139710678
96,23,history,24.703951875822277
97,24,history,96.84835968001502
98,25,history,5.994169207359054
99,32,history,31.94089774670889
100,33,history,52.85157885795642
101,39,history,9.042593744725941
102,23,history,54.70451704204536
103,19,history,62.148861550639076
104,32,history,85.50109451366092
105,8,history,30.59970120633133
106,27,history,64.30883094006987
107,21,history,40.080364733732154
108,35,history,32.252323362998425
109,5,history,12.458901261236576
110,36,history,14.366242836055257
111,28,history,10.916097273570053
112,29,history,27.225781458899505
113,29,history,-14.873290121282079
114,19,history,42.213881254184955
115,22,history,4.320346524328397
116,17,history,58.06617470993153
117,44,history,46.92639352281883
118,38,history,33.714475867873944
119,16,history,38.46154116185932
120,4,history,12.291381460526337
121,23,history,45.304869452995696
122,7,history,33.069202269685974
123,46,history,179.94814646647893
124,27,history,63.56951375929097
125,20,history,84.78845359796202
126,24,history,16.558833134468248
127,21,history,12.257579351430952
128,5,history,12.196247808296857
129,3,history,13.366287702622435
130,11,history,33.39628219391764
131,47,history,0.0010757150014484296
132,19,history,-8.898914427250435
133,21,history,22.141166855683842
134,8,history,35.42628554601722
135,42,history,65.62962901428949
136,16,history,6.770962736588952
137,6,history,24.042249568746097
138,24,history,-17.905242609244763
139,14,history,20.62674494684324
140,0,history,5.580517067094095
141,5,history,23.501985060450195
142,3,history,11.642154578119827
143,22,history,52.70683575647439
144,45,history,117.8724492373134
145,35,history,-16.942739334439583
146,43,history,77.7785180409757
147,15,history,28.670048048373236
148,41,history,4.6032436927700005
149,36,history,65.37351097624271
150,0,history,14.873523114416496
151,26,history,50.240168989140216
152,22,history,49.68607101943926
153,38,history,97.89599916523579
154,21,history,42.484335723360665
155,41,history,77.24796199072583
156,18,history,43.31514777612291
157,34,history,10.2898201037952
158,32,history,84.65037430646379
159,46,history,83.49378067876903
160,0,history,11.426754117578954
161,38,history,64.09395042798245
162,25,history,62.82118612498353
163,36,history,87.99277222062871
164,9,history,24.00214921646181
165,43,history,46.47398190264193
166,5,history,16.592905693622427
167,49,history,81.19110037642744
168,26,history,53.96716128692235
169,29,history,37.433622180266376
170,12,history,30.153923836830756
171,14,history,17.377197216523975
172,39,history,104.92221225949524
173,33,history,60.71738048796909
174,47,history,-55.10523860244
175,40,history,44.20336791358598
176,37,history,63.03481015942232
177,26,history,24.915104472273295
178,6,history,-6.604599727270532
179,42,history,40.78495682859985
180,29,history,57.74499032477232
181,26,history,77.15127591040627
182,8,history,45.45605396247093
183,43,history,59.283602068304205
184,8,history,0.28776339930223926
185,45,history,114.782040676679
186,31,history,29.82078448184048
187,21,history,30.739133209741215
188,18,history,12.267143198375077
189,11,history,56.673924173231434
190,20,history,-18.31764473879666
191,38,history,63.36602646425504
192,9,history,21.703280598710656
193,19,history,28.35564665007889
194,38,history,100.56483060696539
195,21,history,68.22326018398705
196,40,history,83.75024185015916
197,18,history,14.778108343186219
198,18,history,14.969099816526938
199,28,history,73.42428030048447
200,38,history,16.605821345157867
201,2,history,13.037801975186573
202,13,history,6.285861123801837
203,1,history,14.343811146078025
204,18,history,40.396028140088475
205,2,history,24.508172513904267
206,8,history,30.774711886070477
207,31,history,52.14661005522366
208,12,history,23.85479355440124
209,25,history,30.554753215126993
210,18,history,34.823187187181134
211,44,history,-30.79807056543062
212,7,history,21.460676919406104
213,10,history,13.805913652932304
214,34,history,14.69617781310965
215,20,history,42.071845092412715
216,23,history,61.19330119922215
217,40,history,57.259950059144344
218,10,history,30.563819749483187
219,2,history,4.6411756746977355
220,32,history,-1.6390806095908659
221,9,history,15.594005537940001
222,10,history,17.98335646266284
223,0,history,14.300352409792712
224,3,history,14.678737052920251
225,40,history,50.922350846828316
226,46,history,57.784437232874446
227,45,history,28.200729930604464
228,15,history,50.806710244209086
229,18,history,25.412403206689575
230,21,history,53.13844391396754
231,43,history,31.09436014529427
232,23,history,29.80304767806097
233,40,history,55.370703525705004
234,1,history,12.190138488660402
235,34,history,78.15218509990686
236,37,history,56.19222918235846
237,2,history,7.974305126035948
238,12,history,9.48160488084097
239,13,history,50.0366920342755
240,17,history,50.18174198517817
241,7,history,14.830506343389526
242,49,history,28.204686822230116
243,16,history,20.497636878577502
244,22,history,70.425631090168
245,48,history,63.260401847647735
246,20,history,34.50867321885755
247,24,history,25.99345267304933
248,9,history,19.479092662469355
249,48,history,99.55397818134627
250,34,history,51.69505571950288
251,24,history,47.2171313925286
252,45,history,108.0843200524713
253,14,history,3.0486758340857634
254,7,history,26.918483977656223
255,1,history,13.35446686270722
256,19,history,13.563352343064231
257,10,history,0.2277630597522453
258,26,history,19.967213767322708
259,16,history,-3.0596067007652046
260,38,history,89.36765127621447
261,45,history,75.32236218167117
262,43,history,27.780174127138327
263,41,history,35.916767472545644
264,47,history,73.63597002201767
265,25,history,24.951830907637365
266,4,history,10.695646293472432
267,12,history,25.22120931194507
268,21,history,68.44444018143692
269,19,history,21.51538723701298
270,35,history,127.63701890042181
271,28,history,39.36563055517515
272,30,history,40.669675990825574
273,24,history,5.941381896652228
274,33,history,-7.802396044277188
275,38,history,-46.75529203967598
276,10,history,3.88349130621953
277,3,history,17.35699161022416
278,7,history,10.654374177040445
279,19,history,52.372367949735846
280,12,history,-4.025791701074762
281,17,history,65.50261711252293
282,45,history,44.919838245372816
283,18,history,9.448054354428809
284,46,history,-13.009094060966504
285,0,history,10.529018982520046
286,32,history,1.880093806095634
287,25,history,25.681471536927262
288,15,history,34.38492091274975
289,13,history,24.79743405551073
290,19,history,52.71068078051826
291,13,history,16.9855788402711
292,41,history,4.919893560410607
293,12,history,53.096995558674834
294,12,history,12.415808369208385
295,21,history,15.404363920916563
296,47,history,105.94171897114981
297,36,history,34.8317807078803
298,21,history,5.4275639955449755
299,10,history,27.45000790591719
300,27,history,7.467741581474603
301,2,history,13.036302419929246
302,26,history,60.060461311681735
303,26,history,64.01864697023149
304,43,history,27.99554757683426
305,18,history,39.159107693495976
306,4,history,15.286489451867181
307,27,history,86.09654952408788
308,37,history,27.60279195715056
309,16,history,9.227176236835334
310,32,history,31.239181702898435
311,37,history,58.96227773459543
312,18,history,1.3553988717550531
313,22,history,27.920501600728077
314,9,history,-6.6667201638550955
315,30,history,69.86130085371785
316,34,history,88.63545258937091
317,23,history,71.75468759257491
318,33,history,8.742614806790272
319,14,history,36.11173774118095
320,10,history,2.503806013291097
321,14,history,45.300410318391194
322,37,history,50.75741268753113
323,8,history,26.71080189430516
324,36,history,25.386711072275617
325,10,history,-5.586603980618534
326,29,history,38.55231223164326
327,34,history,-16.799692024813105
328,41,history,24.641881008834595
329,18,history,16.565271265916245
330,39,history,-33.104581748292375
331,41,history,33.3523833956763
332,43,history,32.74251902253874
333,16,history,32.990569641457085
334,30,history,39.10034304146575
335,0,history,5.310917231326723
336,47,history,56.746868772504826
337,31,history,14.510322815673934
338,26,history,32.88617302033532
339,5,history,21.23699782232798
340,37,history,26.731298283510416
341,44,history,143.20523356635914
342,30,history,16.846259106671443
343,40,history,-18.408737788170672
344,3,history,19.333520915063136
345,38,history,104.81188547295349
346,46,history,94.3976811501009
347,11,history,5.5484528341214565
348,14,history,22.484036440215025
349,40,history,70.40112990240951
350,25,history,94.84379362441113
351,7,history,26.033888679436032
352,17,history,52.42240511251184
353,48,history,60.61222365864616
354,14,history,36.46728583049148
355,49,history,118.85316941676439
356,6,history,11.619084435682332
357,13,history,14.840407584707943
358,26,history,40.10722809873325
359,47,history,115.25631318072527
360,5,history,25.821887804604074
361,39,history,90.29154130786009
362,1,history,17.781781232051586
363,0,history,8.781465364139628
364,15,history,37.030065422529034
365,26,history,70.34166820831474
366,49,history,96.33716928677879
367,4,history,22.875954586983948
368,24,history,55.382370859296316
369,15,history,33.378295560617346
370,13,history,15.998120589364751
371,46,history,64.73090597623364
372,8,history,17.061530743423283
373,39,history,73.14162227036896
374,5,history,19.809842709068025
375,37,history,67.02931403306142
376,5,history,25.678558930506984
377,4,history,19.999368338761627
378,35,history,103.5385200145239
379,47,history,29.90301045871544
380,9,history,17.63161852673275
381,8,history,11.90394521105331
382,2,history,16.98265399326545
383,11,history,8.492483395734075
384,7,history,6.346383530628811
385,22,history,51.11516907870603
386,22,history,-6.933717290752102
387,17,history,9.132083151681261
388,47,history,153.25410910186176
389,9,history,15.225385915831858
390,26,history,14.255859618124237
391,0,history,12.02949791446655
392,32,history,13.33590134669737
393,43,history,150.2920375619576
394,21,history,39.3932485894862
395,45,history,61.840504631469024
396,32,history,-29.416811596581752
397,19,history,-20.497948897219064
398,34,history,22.905374422014184
399,32,history,47.59516636854323
400,0,history,10.223051439798404
401,38,history,72.76633455262846
402,47,history,28.777180544442608
403,8,history,26.12830993324053
404,24,history,17.40112675380658
405,38,history,22.75237986760526
406,0,history,15.840084123689346
407,23,history,93.799647833025
408,44,history,28.765193220221363
409,26,history,48.79363226991475
410,49,history,43.975854867097105
411,19,history,43.786289687309214
412,48,history,22.027888283314976
413,13,history,26.689030946762003
414,5,history,18.523195864826132
415,45,history,37.91508978044615
416,28,history,24.523832479187796
417,47,history,-63.897586071313825
418,43,history,75.89479526339258
419,1,history,13.277589811219444
420,27,history,55.094034279627095
421,34,history,14.807662572207303
422,22,history,45.48228298090875
423,40,history,109.17462005453122
424,12,history,15.789795182597715
425,35,history,-6.621196731236779
426,0,history,9.339997468155612
427,44,history,109.61809067557235
428,16,history,-8.965554558698216
429,14,history,18.14692680850398
430,44,history,-45.61347178108012
431,45,history,57.36629283002468
432,2,history,8.882367017409766
433,0,history,9.31308370694273
434,34,history,32.42128130806308
435,25,history,64.28263342816417
436,17,history,55.84082082496221
437,13,history,4.633872317890855
438,43,history,92.3015784292579
439,42,history,72.85440072974598
440,6,history,25.03095882458672
441,44,history,53.376371159664345
